Gene names	Majority protein IDs	Mol. weight [kDa]	Average concentration  H1	Average concentration  H2	Average concentration  H3
LMNA	P02545-2;Q5TCI8	65.134	0	0	0
LMNB1	P20700;E9PBF6	66.408	26.19403816	26.28640261	29.16705741
LMNB2	Q03252	67.688	11.2864106	12.24240046	10.77894472
LMO7	E9PMS6;Q8WWI1-3;Q8WWI1;E9PMT2;J3KP06;Q8WWI1-2;F8WD26;Q8WWI1-4;E9PLH4;E9PMP7;H0Y424	145.42	2.153846079	2.260209531	2.281284298
LMTK2	Q8IWU2	164.9	0	0	0
LNP;KIAA1715	Q9C0E8;Q9C0E8-2;B7ZLA8;F5H2Q7;Q9C0E8-3	47.739	1.463528028	1.623823275	1.906487988
LNPEP	Q9UIQ6;Q9UIQ6-2;Q9UIQ6-3	117.35	0.357260346	0.404423294	0.488860538
LOC401307	A4D104;C9J7I0	15.2	0	0	0
LOH12CR1	Q969J3;G3V1P3;Q969J3-2	22.222	0.060974527	0.071800637	0.061402142
LONP1	P36776;Q8N8K8;K7EKE6;K7EJE8;F5GZ27	106.49	5.134234926	4.529072602	4.625505613
LONP2	Q86WA8;B7ZKL7;E7EN44	94.615	0.144369749	0.251256959	0.180415278
LOR	P23490	25.76	0	0	0
LOX	P28300	46.944	0.22405387	0.130367592	0.100403942
LPA	P08519	501.31	0	0	0
LPCAT1	Q8NF37	59.151	0.262938897	0.312128815	0.286303117
LPCAT2	Q7L5N7	60.207	0.161910289	0.375723663	0.592851143
LPCAT3	Q6P1A2;F5H0M4	56.034	2.417160213	2.295605204	2.376134014
LPGAT1	Q92604	43.089	0.683372114	0.781197447	0.683645601
LPHN1	O94910	162.71	0	0	0
LPHN2	O95490-6;O95490-7;O95490;B1ALU3;O95490-5;O95490-2;B1ALU1;H0Y5C0;O95490-4;O95490-3	165.06	0.003365169	0.014301516	0.003174116
LPIN1	F5GY24;E7ESE7;Q14693-2;Q14693;B4DGZ6;B4DET9	107.86	0	0	0
LPIN2	Q92539	99.398	0	0	0.006584304
LPIN3	Q9BQK8-2;Q9BQK8;H0Y5E1	93.7	0	0	0
LPP	Q93052;C9JUT4	65.746	0.519053984	0.618620102	0.559870534
LPXN	O60711-2;O60711;B7Z5P7	43.749	0	0	0
LRBA	F5H1X8;P50851;P50851-2;E9PEM5;H0YAC6	317.79	0.302707716	0.271170659	0.23905059
LRCH1	Q9Y2L9-2;Q9Y2L9-3;Q9Y2L9	77.224	0	0	0
LRCH3	Q96II8-2;Q96II8;B4E0T7;Q96II8-3;E9PD99	89.115	0.031717396	0.06886044	0.088366069
LRCH4	O75427	73.449	0.259497743	0.251836677	0.280702479
LRG1	P02750	38.177	0	0	0
LRIF1	Q5T3J3;Q5T3J3-2	84.567	0.205785342	0.170520185	0.148826689
LRP1	Q07954	504.6	0.184239919	0.147823339	0.174254859
LRP10	Q7Z4F1;Q7Z4F1-2;H0YHW7	76.193	0.04171149	0.044919499	0.035688392
LRP5;LRP6	O75197;O75581;F5H7J9;H0YGW5;E9PHY1	179.14	0.003373414	0.002766096	0.003865009
LRPAP1	P30533	41.465	11.71307732	11.44557422	11.60994539
LRPPRC	P42704	157.9	29.99177769	30.79757611	30.98151979
LRRC1	Q9BTT6;Q9BTT6-2;Q5T0G3	59.241	0.192279275	0.228684104	0.220804426
LRRC14	Q15048;E9PP40;E9PNL0;E9PRP5	54.513	0	0	0
LRRC16A	Q5VZK9;Q5VZK9-2	151.56	0.097998521	0.056795293	0
LRRC20	Q8TCA0;Q8TCA0-3;Q8TCA0-2	20.509	0.025417848	0	0
LRRC25	Q8N386	33.178	0	0	0
LRRC28	Q86X40;Q86X40-2;B4DHL3;H0YM85;H0YKM4;Q86X40-3;H0YKF6;B4DEX4;Q8WUS2;H0YK92;H0YM55;H0YKS9;H0YLR7	41.912	0	0	0
LRRC37A	A6NMS7;E9PP10;A8MUI5	188.26	0	0	0
LRRC40	Q9H9A6	68.249	0.207614057	0.233784197	0.17372141
LRRC41	Q15345;Q15345-3	88.649	0.082764136	0.171360559	0.073297309
LRRC47	Q8N1G4	63.472	3.159544503	3.044445515	2.735175124
LRRC57	Q8N9N7;H3BSW0	26.754	0.533859065	0.497022959	0.381029353
LRRC58	Q96CX6	40.585	0.065031855	0.051488222	0.03154096
LRRC59	Q96AG4	34.93	27.69722506	27.17644599	25.40250957
LRRC8A	Q8IWT6	94.198	0.055706323	0.048915754	0.031219765
LRRC8C	Q8TDW0	92.448	0	0	0
LRRC8D	Q7L1W4	98.2	0.15777206	0.094195039	0.08634368
LRRC8E	Q6NSJ5	90.246	0.051942627	0.08698141	0.089778132
LRRFIP1	E9PGZ2	73.06	0	0	0
LRRFIP1	Q32MZ4;Q32MZ4-2;Q32MZ4-3	89.252	0.885687001	0.765809854	0.773203242
LRRFIP2	Q9Y608-4;Q9Y608;Q9Y608-2;A8MXR0	48.294	0.120942656	0.141614622	0.187419974
LRRK2	Q5S007	286.1	0	0	0
LRSAM1	Q6UWE0;Q6UWE0-2	83.593	0.055864986	0.050871485	0.052071318
LRWD1	Q9UFC0	70.86	0.255188787	0.314024093	0.276264886
LSG1	Q9H089;H7C2X7	75.225	0.172198831	0.087657855	0.1222669
LSM1	O15116;E5RH18;E5RJ47	15.179	0.263773669	0.242822312	0.303584219
LSM12	Q3MHD2-2;Q3MHD2;K7ELG9	21.999	0.835010101	0.74201592	0.700611418
LSM14A	Q8ND56;Q8ND56-2;B4DTG6;K7EMZ9	50.529	0.836175919	0.64196678	0.831001283
LSM14B	Q9BX40;Q9BX40-2;Q5TBQ0;Q5TBQ1	42.07	0.432896815	0.444999174	0.258081827
LSM2	Q9Y333	10.834	9.12208624	9.506268839	11.27587695
LSM3	P62310	11.845	5.436579867	6.347293404	6.275011023
LSM4	Q9Y4Z0	15.35	4.918090108	5.424172597	4.475278782
LSM5	Q9Y4Y9;B8ZZF8;Q9Y4Y9-2	9.9374	5.996291628	5.489796031	5.487710021
LSM6	P62312	9.1275	2.589025297	1.685875412	1.289181358
LSM7	Q9UK45;REV__Q8N998;K7EML7;K7ENY5	11.602	6.083399626	6.439096008	4.65008816
LSMD1	Q9BRA0	13.514	0	0	0
LSP1	P33241;P33241-3;E7EMG9;P33241-2;E9PBD8	37.191	0	0	0
LSR	Q86X29;A6NDW3;Q86X29-4;B4DKL4;Q86X29-3;Q86X29-2	71.438	1.265429848	1.264885136	1.185429207
LSS	P48449;P48449-3;P48449-2	83.308	4.814976309	4.749499041	4.699645167
LST1	O00453-11;O00453;O00453-2;O00453-3;Q5STA5;F2Z2M1;O00453-10;O00453-4;O00453-6	11.644	0	0	0
LTA4H	P09960;P09960-4;P09960-2;P09960-3	69.284	2.901376165	2.908952646	3.018385921
LTBP3	Q9NS15;Q9NS15-2;E9PKW1;H0YCX6	139.36	0	0	0
LTC4S	Q16873	16.567	0	0	0
LTF	E7EQB2	76.625	0	0	0
LTF	P02788;E7ER44;P02788-2	78.181	0	0	0
LTN1	O94822-3;O94822	205.17	0.042482177	0.052126035	0.082806158
LTV1	Q96GA3	54.854	0.164048113	0.093019732	0.079256062
LUC7L	Q9NQ29;Q9NQ29-2;A8MYV2;B8ZZ10	43.727	0.171898488	0	0
LUC7L2	B7Z4Q3;Q9Y383-2;Q9Y383-3	54.223	2.25551478	1.819326414	2.026329417
LUC7L2	F8WEU3;F8WB41	9.4379	0	0	0
LUC7L2	Q9Y383	46.513	0.522347141	0.484900764	0.555545946
LUC7L3	J3KPP4;O95232;B4DJ96;D6RDI2	58.22	1.910928982	2.045920796	1.909364172
LUM	P51884	38.429	0	0	0
LURAP1L	Q8IV03	24.583	0	0	0
LUZP1	Q86V48;Q86V48-3;Q86V48-2	120.27	0.805466288	0.857704625	0.882870223
LXN	Q9BS40	25.75	0	0	0
LY6D	Q14210	13.286	0	0	0
LY75;CD302	O60449-2;O60449-3;O60449;Q8IX05	215.78	0.008545183	0.012859192	0
LYAR	Q9NX58	43.614	4.421401727	4.59582742	5.226201617
LYNX1	Q9BZG9;Q9BZG9-3	14.026	0	0	0
LYPLA1	O75608;O75608-2;E5RJA0;E5RGR0	24.669	2.832008918	3.288062191	2.663335894
LYPLA2	O95372;Q5QPQ0	24.737	1.77350261	1.412332634	1.629049305
LYPLA2	Q5QPN5	9.7331	0	0	0
LYPLA2	Q5QPQ1;Q5QPQ2;Q5QPQ3	17.516	0	0	0
LYPLAL1	Q5VWZ2;Q5VWZ2-2	26.316	0.712666822	0.148559342	0.148692553
LYRM1	H3BNK2;O43325	12.455	0.172629191	0.161025413	0.183786525
LYRM2	Q9NU23;G3V136;E5RG38;E5RJK7	10.449	0.511267879	0.558995141	0.391016796
LYRM4	Q9HD34;F5H189;C9JRX8;C9JY28	10.758	4.45516099	5.219929601	5.063611597
LYRM5	J3KPI7;Q6IPR1;G3V521	10.864	0	0	0
LYRM7	Q5U5X0	11.955	0	0.049825122	0.054477373
LYSMD2	Q8IV50;Q8IV50-2	23.463	0	0	0
LYSMD3	Q7Z3D4	34.537	0.021427656	0.013830548	0.025105779
LYST	Q99698;Q99698-2;Q99698-3;F5H074	429.13	0.088903133	0.09828305	0.09025311
LYZ	P61626;F8VV32	16.537	10.22856029	11.82556004	12.10146815
LZIC	B4E2N0;Q8WZA0;K7ES95	23.925	1.655360976	1.989990553	1.821941361
LZTFL1	Q9NQ48;B3KSI9;F5GWL8;H7C488	34.592	0.033209698	0.034245436	0.083347382
LZTR1	Q8N653;B7Z3T9	94.718	0	0	0
LZTS2	Q9BRK4	72.759	0	0	0
M6PR	P20645;H0YGT2;H0YGE9	30.993	2.089771413	1.668256587	1.469957887
MACF1	E9PLY5	159.92	0	0	0
MACF1	H3BQK9;H3BPE1;F8W8Q1;F5GZL7	861.07	0.157496538	0.137191373	0.130601764
MACROD1	Q9BQ69	35.505	0.57404157	0.637553574	0.792187524
MACROD2	A1Z1Q3;A1Z1Q3-2;A1Z1Q3-4	50.05	0.153037091	0.097959343	0.109103847
MAD1L1	Q9Y6D9;B3KR41	83.066	0.622323889	0.645818941	0.628697249
MAD2L1	Q13257	23.51	0.795352639	0.803741884	1.326845229
MAEA	E7ESC7;Q7L5Y9;B4DVN3;Q7L5Y9-2;Q7L5Y9-3;D6RIB6;Q7L5Y9-4;D6REW7;E7ENL1;D6RDW4;Q7L5Y9-5;D6RE80	49.392	0.055184923	0.116909495	0.140687521
MAF1	E9PSH4;Q9H063;E9PR76	31.972	0.038524895	0.038741257	0.044548566
MAFF	Q9ULX9;Q9ULX9-2	17.76	0.310635987	0.442841744	0.394804016
MAGED1	Q9Y5V3-2;Q9Y5V3	91.957	0.227984231	0.206654892	0.216743588
MAGED2	Q9UNF1;H7BXW3;Q9UNF1-2;Q5H909;Q5H907	64.953	0.482933138	0.451133212	0.36841285
MAGED4	Q96JG8-4;Q96JG8;Q96JG8-2	83.216	0.019042748	0.03081813	0.034569407
MAGI1	Q96QZ7;Q96QZ7-2;Q96QZ7-6;Q96QZ7-5;Q96QZ7-3;Q96QZ7-7;Q96QZ7-4;H7C535;H7C4U7;H7C5T8	164.58	0.072494345	0.057327172	0.073263549
MAGI3	Q5TCQ9-4;Q5TCQ9;Q5TCQ9-3;Q5TCQ9-2	162.95	0	0	0
MAGIX	Q9H6Y5-3;Q9H6Y5;Q9H6Y5-2;F8WCY7	28.854	0	0	0
MAGOH;MAGOHB	P61326;B1ARP8;F5H6P7	17.163	0	0	0
MAGOHB	Q96A72;F5H6N1;A6NEC0	17.276	9.499807286	6.926617142	10.59394549
MAGT1	Q9H0U3	38.036	2.714700612	2.590320278	2.541023319
MAK16	Q9BXY0	35.368	0.613013649	0.792791515	0.736262836
MAL2	Q969L2	19.125	1.726331176	2.571988524	2.302561848
MALT1	Q9UDY8;Q9UDY8-2	92.271	0.113759069	0.108668376	0.099768394
MAN1A1	P33908;Q6P052	72.968	3.255560812	2.622456258	2.697450198
MAN1A2	O60476;H0Y7H1	73.003	0.057840465	0.074867151	0.032261382
MAN1B1	Q9UKM7;H0YG20;H0YGV7;B3KQC5	79.579	0.248897561	0.227004986	0.187425932
MAN2A1	Q16706	131.14	0.917721996	0.890514635	0.972823774
MAN2A2	P49641;P49641-1;H0YLB9;H0YNG5;P49641-2;B4DEU9;H0YKH9	130.54	0	0	0
MAN2B1	O00754;G5E928	113.74	0.396451315	0.427387155	0.415800142
MAN2B2	Q9Y2E5;E9PCD7;Q9Y2E5-2;H0YA68	113.98	0.017576235	0.019378353	0.016877626
MAN2C1	H3BUT6;Q9NTJ4;Q9NTJ4-2;Q9NTJ4-3	117.19	0.007902085	0.011437296	0.009622977
MANBA	O00462;E9PFW2	100.89	0.559503	0.478137308	0.402742629
MANBAL	Q9NQG1;A2A2E0	9.467	0	0.256923495	0.075431786
MANEA	Q5SRI9	53.67	0.071101313	0.087461283	0.044622905
MANEAL	Q5VSG8;Q5VSG8-3	51.316	0.044347057	0	0.049141934
MANF	P55145	20.7	11.74242526	12.41778656	13.78254999
MAOA	P21397;P21397-2	59.681	0.825732026	0.776372186	0.64657346
MAOB	P27338;B7Z242;B7Z5H3	58.762	3.006711311	3.058850698	2.83452756
MAP1B	P46821	270.63	0.097085766	0.080090376	0.078282253
MAP1S	Q66K74;B4DH53	112.21	0.043473392	0.054810323	0.068663938
MAP2K1	Q02750;Q02750-2	43.439	0.630807634	0.646187536	0.701539772
MAP2K2	P36507;G5E9C7	44.424	0.894268821	0.873262455	0.853544764
MAP2K3	P46734;P46734-3;P46734-2	39.318	0.473304099	0.302365426	0.584497896
MAP2K4	P45985-2;P45985	45.584	0.408731126	0.228070971	0.306349998
MAP2K5	Q13163;Q13163-3;Q13163-2;Q13163-4	50.111	0	0	0
MAP2K6	P52564	37.492	0.125416922	0.15672196	0.132814173
MAP2K7	O14733-2;F6WCX7;O14733-3;O14733-4;O14733	51.88	0.040856907	0.049914683	0
MAP3K11	Q16584;B4DS76	92.687	0	0	0
MAP3K2	Q9Y2U5	69.74	0	0	0
MAP3K4	Q9Y6R4;F5H538;Q9Y6R4-2;J3KNB8;F5H4R1	181.68	0.027631788	0.026478523	0.029168557
MAP3K5	Q99683	154.54	0	0	0
MAP3K7;DKFZp586F0420	O43318;O43318-2;O43318-3;O43318-4;Q9UG54	67.195	0.047751388	0.040070157	0.06395536
MAP4	E7EVA0	245.44	0.337505513	0.186958935	0.17196655
MAP4	P27816;P27816-6;P27816-2;B9ZVR1	121	4.395576878	4.229841638	4.463599903
MAP4K3	Q8IVH8-2;Q8IVH8;Q8IVH8-3;F5H5A3	100.13	0.006618837	0	0.006015569
MAP4K4	E7EN19;O95819-5;O95819-2;H7C360;G3XAA2;O95819-4;E7ENQ1;G5E948;O95819-3;O95819;E7ESS2;C9J840;E7EX83;H7C0P6	144.92	0.309932702	0.356873065	0.423779039
MAP4K5	Q9Y4K4	95.039	0	0.018010141	0.014885866
MAP7	Q14244;E9PCP3;F5H1E2;Q14244-2;Q14244-4;Q14244-3;Q14244-5	84.051	0	0	0
MAPK1	P28482;A8CZ64	41.389	8.180012151	8.72829234	7.641074389
MAPK14	Q16539;Q16539-3;Q16539-2;Q16539-4;B4E0K5	41.293	0.388011955	0.395033897	0.366544169
MAPK1IP1L	Q8NDC0	24.269	0.20182579	0.207638162	0.422072222
MAPK3	P27361;P27361-3;E9PQW4;P27361-2;E9PJF0;E9PBK7	43.135	1.584610125	1.171105125	1.583380174
MAPK7	Q13164;Q13164-3;C9JUK9;J3KT61	88.385	0.097254622	0.109209074	0.100360498
MAPK8	P45983-4;P45983-3;P45983;P45983-2;Q308M2	48.088	0	0	0
MAPK9	P45984;P45984-2;P45984-4;P45984-3;J3KNK1	48.139	0.007077123	0.173245667	0.05661338
MAPKAP1	Q9BPZ7;Q9BPZ7-2;Q9BPZ7-3	59.122	0	0	0
MAPKAPK2	P49137;P49137-2	45.567	0.203824549	0.154893922	0.118837786
MAPKAPK3	Q16644;C9J8E1	42.987	0	0	0.023246825
MAPRE1	Q15691	29.999	7.580369516	7.86023602	7.019547665
MAPRE2	Q15555;Q15555-3;G5E9I6;Q15555-4;Q15555-2;K7ERD8;K7EL66	37.031	0.838717928	0.829231548	0.937778484
MAPRE3	Q9UPY8;C9JB30	31.982	0	0	0
"MARCH1,"	Q5VT66-2;Q5VT66;H7BYZ9;Q5VT66-3	39.453	1.217128048	1.178033105	1.189018642
"MARCH2,"	Q969Z3;Q969Z3-2	38.023	0.289590709	0.606666626	0.54293981
"MARCH5,"	Q9NX47	31.231	2.401983468	2.051133941	2.034289148
"MARCH6,"	O60337;B4DT33;B4DKJ2	102.54	0	0	0
MARCKS	P29966	31.554	11.87518957	11.96149321	12.12859054
MARCKSL1	P49006	19.529	15.11539733	14.09981732	13.24612607
MARK2	E9PC69;Q7KZI7-14;Q7KZI7-16;Q7KZI7-15;E7ETY4;Q7KZI7-13;Q7KZI7;Q7KZI7-8;Q7KZI7-11;Q7KZI7-6;Q7KZI7-3;Q7KZI7-12;Q7KZI7-9;Q7KZI7-4;Q7KZI7-5;Q7KZI7-2;Q7KZI7-7;Q7KZI7-10	86.987	0.112502325	0.120118022	0.11184757
MARK3	J3KNR0;P27448;P27448-2;P27448-4;P27448-3;P27448-7;P27448-6;P27448-8;H0YIY6	87.004	0	0.00784067	0.023567615
MARS	P56192;B3KVK7;A6NC17	101.11	4.262945598	4.264414306	4.167065297
MARS2	Q96GW9	66.59	0.738900611	0.903546264	1.213226998
MARVELD2	Q8N4S9;A1BQX2;Q8N4S9-3;D6RA09;Q8N4S9-2	64.167	0.013869037	0.038888419	0.026762933
MARVELD3	Q96A59	44.91	0	0	0
MASP1	P48740	79.246	0.007149501	0.007263504	0.007518651
MASP2	O00187;O00187-2	75.702	0	0	0
MAST3	O60307	143.14	0	0	0
MAST4	O15021-3;F8WAQ9;O15021;J3QT34;E7EWQ5;O15021-1;O15021-2;H7C1I9	265.35	0	0	0
MAT1A	Q00266	43.647	3.206047086	3.413429761	3.011122172
MAT2A	P31153;B4DN45	43.66	0.474976292	0.54342339	0.564264664
MAT2B	Q9NZL9;Q9NZL9-3;H7C0X7	37.551	3.051426354	2.514880006	2.419249429
MATN2	J3KN08;O00339;O00339-2;O00339-3;H0YBJ4;O00339-4;H0YBU5	106.95	0	0	0
MATR3	A8MXP9;P43243;D6REM6;D6R991	99.966	14.72111087	14.25450104	13.74924854
MAU2	Q9Y6X3	69.081	0.030565431	0.02117422	0.023558441
MAVS	Q7Z434;Q7Z434-4	56.527	6.006408813	6.624589997	6.898725101
MAX	P61244;P61244-2;P61244-4;G3V2R5;G3V5L1;G3V563;P61244-3;Q6V3B1;G3V570	18.275	0.252135216	0.45389313	0.237335443
MAZ	P56270-2;P56270;C6G496;I3L2Z5;H3BQI4;H3BQD6;H3BQS2;I3L0M3;I3L4Y2;H3BPU3;I3L411	51.072	0.054274771	0.059062395	0.070353987
MBD1	B4DI41;K7ESN0;Q9UIS9-9;Q9UIS9;K7ELI2;Q9UIS9-5;Q9UIS9-7;Q9UIS9-2;Q9UIS9-8;K7EQZ4;Q9UIS9-4;K7EN65;Q9UIS9-6;K7EPZ6	72.397	0.01902985	0.018663945	0.006046262
MBD2	Q9UBB5	43.254	0.030546756	0.028835797	0.06411855
MBD3	O95983;O95983-2;K7EIE8	32.844	1.801414247	1.784257624	1.826031177
MBD4	O95243;O95243-2;E9PEE4;O95243-3;Q2MD36	66.05	0	0	0
MBIP	Q9NS73;Q9NS73-5;H0YJ86;Q9NS73-2;Q9NS73-3;G5E9D6;G3V375;G3V4Y9;G3V4Y6	39.281	0.033261007	0.045203588	0.037091156
MBL2	P11226	26.143	0	0	0
MBLAC1	A4D2B0	27.202	0	0	0
MBLAC2	Q68D91;Q68D91-2	31.371	2.043333428	2.285853436	2.236112637
MBNL1	Q9NR56;C9JP00;Q86VM6;Q9NR56-7	41.817	1.018268647	0.985169323	0.81961756
MBNL2;MBLL	Q5VZF2;Q5VZF2-2;Q5VZF2-3;O95205;B4E3F7	40.517	0.33160003	0.179149703	0.268839954
MBNL3	Q9NUK0;B1AKI6;Q9NUK0-2;Q9NUK0-3;Q9NUK0-4	38.531	0.127262566	0.120276783	0.146486702
MBOAT1	Q6ZNC8;Q6ZNC8-2;Q6ZNC8-3	56.557	0	0	0
MBOAT7	Q96N66;Q96N66-2;Q96N66-3	52.764	0.397536836	0.466795139	0.504730358
MBP	P02686;J3QQK6;P02686-2;J3KS94	33.117	0	0	0
MBTD1	Q05BQ5;Q05BQ5-3	70.547	0	0	0
MCAM	P43121	71.607	0.426210032	0.364508261	0.359733776
MCAT	Q8IVS2	42.961	1.771387549	2.891495087	2.015215823
MCC	P23508;P23508-2;D6REY2	93.026	0	0	0
MCCC1	Q96RQ3;E9PHF7;E9PG35;F5GYT8;G5E9X5	80.472	0.882538617	0.82586769	0.941594002
MCCC2	D6RD67	31.578	0	0	0
MCCC2	Q9HCC0;Q9HCC0-2;D6RDF7;D6R9R1	61.332	6.824644079	6.881493767	5.824595114
MCEE	F5GZ54	3.414	0	0	0
MCEE	Q96PE7;H7BZS7	18.749	1.616790702	2.38617911	2.886496218
MCEMP1	Q8IX19;M0R0S5	21.228	0	0	0
MCFD2	Q8NI22;Q8NI22-3;Q8NI22-2	16.39	3.222913755	4.457522528	4.49322839
MCL1	Q07820;Q07820-2	37.337	0.144223735	0.009461653	0
MCM2	P49736;H0Y8E6	101.89	1.551437724	1.537490141	1.448510778
MCM3	B4DWW4;P25205;J3KQ69	95.907	2.319950551	2.974714997	2.684310809
MCM3AP	O60318	218.4	0.015926521	0.026109616	0.032246815
MCM4	P33991;J3KPV4	96.557	1.902204806	1.264075309	1.778720719
MCM5	P33992;B1AHB1	82.285	1.413753196	1.591080475	1.546707376
MCM6	Q14566	92.888	1.332569248	1.265190164	1.244818113
MCM7	P33993;P33993-3	81.307	1.861888675	1.364794035	1.474803929
MCMBP	Q9BTE3-2;Q9BTE3;Q9BTE3-3	72.748	0.022853602	0.023693355	0.075970727
MCRS1	Q96EZ8-2;Q96EZ8;Q96EZ8-3;F8W126;F8VP44;F8VVA6;F8W0I9	53	0.088659541	0.14255742	0.160753942
MCTS1	Q9ULC4-3;Q9ULC4;Q9ULC4-2	20.55	1.769739101	1.940616318	3.157035808
MCU	Q8NE86;Q8NE86-3;Q8NE86-2	39.866	1.72899963	1.671209639	1.588631749
MDC1	Q14676;Q14676-2;Q14676-3	226.66	0.226947452	0.195308024	0.181804238
MDH1	C9JRL4	13.044	0	0	0
MDH1	P40925-3;P40925;P40925-2;B9A041;B8ZZ51;C9JF79	38.627	17.52279113	17.4168689	12.84633507
MDH2	P40926;E9PDB2;G3XAL0	35.503	43.79889892	43.24020928	40.35408052
MDM1	Q8TC05;Q8TC05-4;F5H804	80.734	0	0	0
MDN1	Q9NU22	632.81	0.176749061	0.136679245	0.150723072
MDP1	Q86V88;Q86V88-2;Q86V88-3	20.109	0	0	0
ME1	P48163;B4DZ70;F5H4W0	64.149	0	0	0
ME2	P23368;P23368-2	65.443	0.713724779	0.814680849	1.304187728
MEA1	Q16626	19.904	0.091161717	0	0
MECP2	P51608	52.44	0	0	0
MECR	Q9BV79;Q9BV79-2;H3BM30	40.461	0	0.097914414	0.082496795
MED1	Q15648;Q15648-3	168.48	0.117207601	0.122588528	0.127724777
MED10	Q9BTT4	15.688	0	0	0
MED11	Q9P086;I3L2Q0;I3L3E8	13.129	0	0	0
MED12	Q93074-2;Q93074;Q93074-3;H0Y7P1	243.39	0.021328613	0.029715473	0.031781543
MED13	Q9UHV7	239.29	0.007050427	0.009139116	0.008595662
MED13L	Q71F56	242.6	0	0	0
MED14	O60244	160.6	0.024581815	0.021735107	0.021472836
MED15	C9JM58	10.864	0	0	0
MED15	Q96RN5;Q96RN5-2;Q96RN5-3;G3V1P5;F5GZU5	86.753	0.112931282	0.12391239	0.112868837
MED16	Q9Y2X0;Q9Y2X0-3;Q9Y2X0-2;Q9Y2X0-4;Q9Y2X0-5;K7EKS6;B9TWZ6	96.792	0.232732862	0.282471096	0.262935597
MED17	Q9NVC6;E9PM72;E9PJZ4	72.889	0.185534819	0.123706059	0.139613502
MED18	Q9BUE0	23.662	0.23951942	0	0.302567562
MED20;TRFP	Q9H944;B7ZBQ3;A6PVP4;B4DE08	23.222	0.355683904	0.43354515	0.400798467
MED21	F5H872;Q13503	17.278	0.099335104	0.102102254	0.124891551
MED22	Q15528;Q15528-2;Q5T8T8;E7EN96;Q5T8T7;E9PGW7	22.22	0	0	0
MED24	F5GY88;O75448;O75448-2;F5H0K1;F8W9R9;F5H5K2	112.18	0.040139021	0.03206122	0.027236925
MED25	Q71SY5-3;Q71SY5-4;Q71SY5-2;Q71SY5;Q71SY5-5	82.971	0.060428247	0.054916255	0.063869826
MED27	Q6P2C8;Q6P2C8-2	35.431	0.075939888	0.072792467	0.067498502
MED28	H0YAA8;Q9H204	19.655	0.232609124	0.259439929	0.288187649
MED29	Q9NX70;M0R3F3;M0R2E4;M0R1D9	21.073	0.335596429	0.334236476	0.349297966
MED31	Q9Y3C7;I3L2J1	15.805	0.226448481	0.299523878	0.313557392
MED4	Q9NPJ6;Q5T911;B4DX67	29.745	0.237511013	0.276814854	0.265645529
MED6	B4DU17;G3V4A5;O75586	29.297	0.08243735	0.065954831	0
MED7	O43513;E5RIE8	27.245	0	0	0
MED8	Q96G25-2;Q96G25;Q96G25-3	32.818	0.112546958	0.031743246	0.022115231
MED9	Q9NWA0	16.403	0.074604257	0	0.132776036
MEF2A;MEF2C	Q02078;Q02078-5;Q02078-3;Q06413-6;D6RC63;D6R942;D6RB91	54.811	0	0	0
MEGF8	Q7Z7M0	303.1	0	0	0
MEN1	O00255;O00255-2;O00255-3;E7EN32	68.023	0.405363504	0.357657168	0.372584991
MEPCE	Q7L2J0	74.354	0.320305106	0.317025581	0.435934604
MERTK	Q12866;E9PHX8	110.25	0.08470279	0.090272937	0.045285108
MESDC2	Q14696	26.076	15.39913887	14.01673932	14.67514546
MEST	Q5EB52;Q5EB52-2;C9JW74;Q5EB52-3;C9JSW2;C9JWU9;C9JCM6;C9JRA9	38.83	0	0	0
MET	P08581-2;P08581	157.71	0.064920002	0.071700232	0.068385342
METAP1	P53582;F5GXS7;H0Y955	43.215	1.624192049	1.316766776	1.400883681
METAP1D	Q6UB28	37.087	0.065192607	0.080127482	0.073516224
METAP2	P50579;F8VQZ7;G3XA91;B4DUX5;F8VRR3;G3V1U3	52.891	0.321446337	0.335309435	0.309489026
METTL1	Q9UBP6	31.471	0.952327525	1.197379031	1.092336659
METTL10	Q5JPI9;G3V238	31.83	0.032361559	0	0
METTL11A	Q9BV86;Q9BV86-2	25.387	0.160876148	0.127710547	0.154778094
METTL13	Q8N6R0;B4E2X3;Q8N6R0-4;Q8N6R0-3;Q8N6R0-1	78.767	0	0	0
METTL14	Q9HCE5;D6RBL4	52.15	0.385663062	0.28018713	0.256900474
METTL15	A6NJ78;A6NJ78-2	46.121	0.339633661	0.273040004	0.28832908
METTL16	Q86W50;Q86W50-2	63.62	0.063585821	0.119727151	0.128032146
METTL17	Q9H7H0-3;Q9H7H0;Q9H7H0-2;G3V2Q4;G3V353;H0YJW8	53.051	0.649402411	0.682818447	0.697264923
METTL20	Q8IXQ9	29.46	0	0	0
METTL21A	H7BXH9;Q8WXB1	26.616	0.050894688	0.053241346	0.041998378
METTL21C	Q5VZV1	29.564	0	0	0
METTL21D	Q9H867;Q9H867-5;Q9H867-1;Q9H867-2	25.806	0	0	0
METTL2B	Q6P1Q9;Q6P1Q9-2;H7C4Z8	43.426	0.038647254	0.032674145	0.045367837
METTL3	Q86U44;H0YFV6;B4DTN4;F5H6D8	64.473	0.332010273	0.365840059	0.37131116
METTL5	B8ZZC8;Q9NRN9;B8ZZE3;E7EMN2;H7C0M7	27.773	0	0.035856975	0
